year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source
1976,9,61,9,76-85
1977,14,77,14,76-85
1978,8,100,8,76-85
1979,14,72,14,76-85
1980,19,90,19,76-85
1981,12,101,12,76-85
1982,13,100,13,76-85
1983,22,159,22,76-85
1984,23,164,23,76-85
1985,61,166,57,76-85
1986,118,0,118,86-95
1987,117,0,117,86-95
1988,131,0,131,86-95
1989,157,0,157,86-95
1990,195,0,195,86-95
1991,147,0,147,86-95
1992,122,0,122,86-95
1993,116,0,116,86-95
1994,102,0,102,86-95
1995,96,0,96,86-95
1996,73,0,73,96-05
1997,53,0,53,96-05
1998,58,0,58,96-05
1999,49,0,49,96-05
2000,62,0,62,96-05
2001,45,0,45,96-05
2002,83,0,83,96-05
2003,70,0,70,96-05
2004,65,0,65,96-05
2005,91,0,91,96-05
2006,100,0,100,06-15
2007,89,0,89,06-15
2008,76,0,76,06-15
2009,123,0,123,06-15
2010,132,0,132,06-15
2011,134,0,134,06-15
2012,155,0,155,06-15
2013,164,0,164,06-15
2014,184,0,184,06-15
2015,180,0,180,06-15
2016,211,0,211,16-25
2017,275,0,275,16-25
2018,303,0,303,16-25
2019,429,0,429,16-25
2020,527,0,527,16-25
2021,709,0,709,16-25
2022,897,0,897,16-25
2023,1082,0,1082,16-25
2024,1416,0,1416,16-25
2025,2034,0,2034,16-25
