year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source,optical_total_publications,fraction_optical,percent_optical,percent_optical_rolling_3y
1975,33,0,33,,15610,0.002114029468289558,0.2114029468289558,0.2114029468289558
1976,47,0,47,,16818,0.0027946248067546677,0.27946248067546675,0.24543271375221126
1977,67,0,67,,18468,0.003627896902750704,0.3627896902750704,0.28455170592649764
1978,71,0,71,,19218,0.0036944531168696016,0.36944531168696015,0.3372324942124991
1979,77,0,77,,19545,0.003939626502941929,0.3939626502941929,0.3753992174187412
1980,69,0,69,,21120,0.0032670454545454543,0.3267045454545454,0.36337083581189944
1981,47,0,47,,22506,0.002088332000355461,0.2088332000355461,0.30983346526142813
1982,58,0,58,,22390,0.002590442161679321,0.2590442161679321,0.2648606538860079
1983,76,0,76,,24796,0.0030650104855621876,0.30650104855621874,0.258126154919899
1984,96,0,96,,26624,0.003605769230769231,0.3605769230769231,0.3087073959336913
1985,157,0,157,,28827,0.0054462829985777225,0.5446282998577723,0.4039020904969714
1986,256,0,256,,32117,0.007970856555718156,0.7970856555718155,0.5674302928355036
1987,256,0,256,,34715,0.00737433386144318,0.737433386144318,0.6930491138579686
1988,290,0,290,,37020,0.007833603457590491,0.7833603457590491,0.7726264624917275
1989,373,0,373,,40472,0.009216248270409172,0.9216248270409172,0.8141395196480947
1990,475,0,475,,44688,0.010629251700680272,1.0629251700680271,0.9226367809559978
1991,399,0,399,,46886,0.00851000298596596,0.8510002985965961,0.9451834319018468
1992,384,0,384,,48604,0.007900584314048227,0.7900584314048227,0.9013279666898152
1993,430,0,430,,53301,0.008067390855706272,0.8067390855706272,0.815932605190682
1994,359,0,359,,54609,0.006574007947407937,0.6574007947407936,0.7513994372387479
1995,305,0,305,,55210,0.005524361528708568,0.5524361528708568,0.6721920110607592
1996,296,0,296,,63446,0.004665384736626422,0.46653847366264223,0.5587918070914308
1997,234,0,234,,62337,0.0037537898840175176,0.37537898840175177,0.4647845383117502
1998,265,0,265,,67673,0.003915889645796699,0.39158896457966985,0.4111688088813546
1999,224,0,224,,67863,0.0033007677232070494,0.3300767723207049,0.3656815751007088
2000,236,0,236,,73647,0.0032044754029356254,0.32044754029356254,0.3473710923979791
2001,222,0,222,,76701,0.002894356005788712,0.2894356005788712,0.31331997106437953
2002,429,0,429,,103271,0.004154118774873875,0.4154118774873875,0.3417650061199404
2003,292,0,292,,103389,0.0028242849819613306,0.2824284981961331,0.3290919920874639
2004,256,0,256,,109747,0.0023326377941993858,0.2332637794199386,0.31036805170115306
2005,340,0,340,,122553,0.0027743098904147593,0.27743098904147595,0.26437442221918256
2006,318,0,318,,129332,0.002458788234930257,0.2458788234930257,0.2521911973181467
2007,309,0,309,,134616,0.002295418078088786,0.2295418078088786,0.2509505401144601
2008,301,0,301,,140765,0.0021383156324370402,0.21383156324370403,0.22975073151520276
2009,313,0,313,,150035,0.002086179891358683,0.20861798913586832,0.2173304533961503
2010,366,0,366,,164224,0.002228663289166017,0.2228663289166017,0.21510529376539136
2011,342,0,342,,178471,0.0019162777145866835,0.19162777145866836,0.20770402983704614
2012,368,0,368,,186914,0.0019688198850808395,0.19688198850808394,0.20379202962778467
2013,377,0,377,,199596,0.0018888154071223873,0.18888154071223873,0.19246376689299702
2014,351,0,351,,208398,0.0016842772003570093,0.16842772003570092,0.18473041641867452
2015,404,0,404,,218424,0.0018496135955755777,0.18496135955755777,0.1807568734351658
2016,398,0,398,,230128,0.001729472293680039,0.17294722936800389,0.17544543632042087
2017,439,0,439,,237307,0.0018499243595848415,0.18499243595848414,0.18096700829468193
2018,454,0,454,,255455,0.0017772210369732437,0.17772210369732439,0.17855392300793746
2019,561,0,561,,276028,0.002032402509890301,0.2032402509890301,0.18865159688161284
2020,579,0,579,,291899,0.0019835628076834795,0.19835628076834794,0.19310621181823415
2021,719,0,719,,306481,0.0023459855586480077,0.23459855586480077,0.21206502920739292
2022,860,0,860,,323170,0.002661138100690039,0.2661138100690039,0.23302288223405088
2023,1095,0,1095,,420556,0.0026036960595021827,0.26036960595021824,0.2536939906280076
2024,1298,0,1298,,403178,0.003219421694636116,0.3219421694636116,0.2828085284942779
2025,1816,0,1816,,406342,0.004469141757435855,0.4469141757435855,0.3430753170524718
