year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source,optical_cs_ee_subfield_publications,fraction_optical_cs_ee,percent_optical_cs_ee,percent_optical_cs_ee_rolling_3y
1975,33,0,33,,3464,0.009526558891454965,0.9526558891454965,0.9526558891454965
1976,47,0,47,,3657,0.01285206453377085,1.285206453377085,1.1189311712612908
1977,67,0,67,,3697,0.018122802272112524,1.8122802272112524,1.3500475232446112
1978,71,0,71,,3841,0.018484769591252278,1.8484769591252277,1.6486545465711882
1979,77,0,77,,4335,0.01776239907727797,1.776239907727797,1.8123323646880924
1980,69,0,69,,4538,0.015204936095196122,1.5204936095196122,1.715070158790879
1981,47,0,47,,5028,0.009347653142402546,0.9347653142402546,1.4104996104958876
1982,58,0,58,,4818,0.012038190120381901,1.2038190120381902,1.2196926452660188
1983,76,0,76,,5353,0.01419764617971231,1.419764617971231,1.1861163147498919
1984,96,0,96,,5669,0.016934203563238666,1.6934203563238666,1.4390013287777625
1985,157,0,157,,6468,0.02427334570191713,2.427334570191713,1.84683984816227
1986,256,0,256,,7336,0.03489640130861505,3.4896401308615053,2.536798352459028
1987,256,0,256,,8192,0.03125,3.125,3.013991567017739
1988,290,0,290,,8319,0.03485995912970309,3.485995912970309,3.3668786812772713
1989,373,0,373,,9163,0.04070719196769617,4.070719196769617,3.560571703246642
1990,475,0,475,,10327,0.04599593299118815,4.599593299118815,4.052102802952914
1991,399,0,399,,10917,0.03654850233580654,3.654850233580654,4.108387576489695
1992,384,0,384,,10382,0.03698709304565594,3.698709304565594,3.984384279088354
1993,430,0,430,,11919,0.03607685208490645,3.607685208490645,3.653748248878964
1994,359,0,359,,11381,0.031543801071962044,3.1543801071962045,3.4869248734174807
1995,305,0,305,,11533,0.026445851036157115,2.6445851036157113,3.13555013976752
1996,296,0,296,,13375,0.022130841121495326,2.2130841121495326,2.6706831076538156
1997,234,0,234,,11906,0.01965395598857719,1.965395598857719,2.274354938207654
1998,265,0,265,,12825,0.020662768031189084,2.0662768031189085,2.0815855047087197
1999,224,0,224,,12579,0.017807456872565387,1.7807456872565388,1.9374726964110554
2000,236,0,236,,13353,0.017673930951846026,1.7673930951846026,1.87147186185335
2001,222,0,222,,13870,0.016005767844268205,1.6005767844268204,1.7162385222893202
2002,429,0,429,,25921,0.01655028741175109,1.6550287411751088,1.6743328735955103
2003,292,0,292,,22218,0.013142497074444145,1.3142497074444144,1.5232850776821143
2004,256,0,256,,22796,0.011230040357957537,1.1230040357957538,1.3640941614717585
2005,340,0,340,,27209,0.012495865338674703,1.2495865338674703,1.2289467590358791
2006,318,0,318,,26595,0.011957134799774394,1.1957134799774394,1.1894346832135543
2007,309,0,309,,26221,0.011784447580183823,1.1784447580183823,1.2079149239544302
2008,301,0,301,,26446,0.011381683430386447,1.1381683430386447,1.1707755270114886
2009,313,0,313,,28054,0.01115705425251301,1.115705425251301,1.144106175436109
2010,366,0,366,,30125,0.012149377593360995,1.2149377593360995,1.1562705092086816
2011,342,0,342,,32142,0.010640283740899757,1.0640283740899756,1.1315571862257918
2012,368,0,368,,31754,0.01158909113812433,1.158909113812433,1.145958415746169
2013,377,0,377,,33104,0.01138835186080232,1.138835186080232,1.1205908913275466
2014,351,0,351,,33470,0.010487003286525246,1.0487003286525247,1.1154815428483962
2015,404,0,404,,34024,0.01187397131436633,1.187397131436633,1.1249775487231295
2016,398,0,398,,33697,0.011811140457607502,1.18111404576075,1.139070501949969
2017,439,0,439,,34488,0.012729065182092322,1.272906518209232,1.2138058984688713
2018,454,0,454,,35657,0.012732422806181115,1.2732422806181116,1.2424209481960309
2019,561,0,561,,37435,0.014985975691198077,1.4985975691198077,1.3482487893157167
2020,579,0,579,,35603,0.01626267449372244,1.626267449372244,1.466035766370054
2021,719,0,719,,36669,0.0196078431372549,1.9607843137254901,1.6952164440725135
2022,860,0,860,,37760,0.022775423728813558,2.277542372881356,1.9548647119930298
2023,1095,0,1095,,45195,0.024228343843345504,2.4228343843345503,2.2203870236471315
2024,1298,0,1298,,45664,0.0284250175192712,2.84250175192712,2.5142928363810086
2025,1816,0,1816,,45433,0.039970946228512313,3.997094622851231,3.0874769197043004
