year,ee_total_publications
1975,16482
1976,16556
1977,17432
1978,18384
1979,19619
1980,21061
1981,22583
1982,22271
1983,23544
1984,25017
1985,27600
1986,28186
1987,32050
1988,31633
1989,34623
1990,36914
1991,39872
1992,40518
1993,43753
1994,43983
1995,46859
1996,51948
1997,51688
1998,54223
1999,57453
2000,64123
2001,68783
2002,149396
2003,122504
2004,119771
2005,143966
2006,157234
2007,153861
2008,163529
2009,171524
2010,185725
2011,199322
2012,203221
2013,208376
2014,219617
2015,220626
2016,221593
2017,222879
2018,233562
2019,240817
2020,234901
2021,230590
2022,228555
2023,251644
2024,264506
2025,285793
